the_geom,BoroCode,BoroName,BoroCD,CounDist,AssemDist,StSenDist,CongDist,street,segmentid,Rank,PMP_ID,NTA2020,Boro,Category,NTAName,FEMAFldz,FEMAFldT,HrcEvac,SHAPE_Leng
"MULTILINESTRING ((-73.75588878038913 40.71629864382043, -73.75585107356584 40.71631484514795))",4,Queens,"412,413",23,"33,29",14,5,93 AVENUE,181574,5,60362,QN1206,QN,Baseline,"Hollis,Queens Village",X,AREA OF MINIMAL FLOOD HAZARD,,12.00427505
"MULTILINESTRING ((-74.2508802823365 40.50712298401788, -74.25057471633528 40.50588378874902))",5,Staten Island,503,51,62,24,11,CONNECTICUT STREET,84,5,79687,SI0305,SI,Baseline,Tottenville-Charleston,X,AREA OF MINIMAL FLOOD HAZARD,,459.3941557
"MULTILINESTRING ((-73.78150680064302 40.70730011520082, -73.7813481712217 40.70690692871166))",4,Queens,412,27,29,14,5,179 PLACE,60750,4,57210,QN1201,QN,Community,Jamaica,X,AREA OF MINIMAL FLOOD HAZARD,,149.8490066
"MULTILINESTRING ((-73.77838451000191 40.708050109899176, -73.7781915430769 40.70759400607564))",4,Queens,412,27,29,14,5,182 PLACE,60868,5,57077,QN1201,QN,Baseline,Jamaica,X,AREA OF MINIMAL FLOOD HAZARD,,174.5722631
"MULTILINESTRING ((-73.9378930941293 40.64963384593136, -73.93778495065524 40.648602883666676))",3,Brooklyn,317,45,58,21,9,EAST 42 STREET,41850,5,16488,BK1703,BK,Baseline,"East Flatbush-Rugby,Holy Cross Cemetery",X,AREA OF MINIMAL FLOOD HAZARD,,376.8047785
"MULTILINESTRING ((-74.25032855943485 40.508031250599196, -74.25116514793785 40.507782766777815))",5,Staten Island,503,51,62,24,11,AMBOY ROAD,89,5,79830,SI0305,SI,Baseline,Tottenville-Charleston,X,AREA OF MINIMAL FLOOD HAZARD,,249.6316699
"MULTILINESTRING ((-73.75345843631801 40.722929383655504, -73.75304968428863 40.722596569589925))",4,Queens,413,23,33,14,5,HOLLIS COURT BOULEVARD,181630,5,61908,QN1303,QN,Baseline,Queens Village,X,AREA OF MINIMAL FLOOD HAZARD,,165.950646
"MULTILINESTRING ((-73.76074172061983 40.60466579451205, -73.7599661134618 40.604735507880015))",4,Queens,414,31,"31,23",10,5,IVES COURT,61622,5,64980,QN1401,QN,Baseline,Far Rockaway-Bayswater,X,AREA OF MINIMAL FLOOD HAZARD,1,216.860859
"MULTILINESTRING ((-73.93378411773655 40.773033545918665, -73.93372771514349 40.77301643364833))",4,Queens,401,22,37,12,12,ASTORIA BOULEVARD,9000183,4,36751,QN0102,QN,Community,Old Astoria-Hallets Point,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,2,16.82034089
"MULTILINESTRING ((-74.1516051146334 40.62913204522774, -74.15167429155069 40.62866302751217))",5,Staten Island,501,49,61,23,11,LAKE AVENUE,331367,5,70522,SI0107,SI,Baseline,Mariner's Harbor-Arlington-Graniteville,X,AREA OF MINIMAL FLOOD HAZARD,6,171.9511811
"MULTILINESTRING ((-73.7522932790759 40.599871148088646, -73.7531150231897 40.59999884588408))",4,Queens,414,31,23,10,5,MUHLEBACH COURT,61791,4,65139,QN1401,QN,Community,Far Rockaway-Bayswater,X,AREA OF MINIMAL FLOOD HAZARD,1,232.8901129
"MULTILINESTRING ((-73.74321741919982 40.60273596355054, -73.74369540631409 40.60376047813402))",4,Queens,414,31,23,15,5,MADOR COURT,61945,5,64957,QN1401,QN,Baseline,Far Rockaway-Bayswater,X,AREA OF MINIMAL FLOOD HAZARD,1,396.1537557
"MULTILINESTRING ((-74.1618869921217 40.59500712703304, -74.16188546289814 40.59499033441011, -74.16188841069092 40.5948374572599, -74.16190818388988 40.59468531284283, -74.16194449090979 40.594535495489076))",5,Staten Island,502,"50,51",63,24,11,RICHMOND AVENUE,110257,4,74433,SI0204,SI,Community,New Springville-Willowbrook-Bulls Head-Travis,X,"0.2 PCT ANNUAL CHANCE FLOOD HAZARD,AREA OF MINIMAL FLOOD HAZARD",6,173.0429866
"MULTILINESTRING ((-73.74045598004034 40.60459120158488, -73.74078987853423 40.60438817514089))",4,Queens,414,31,23,15,5,CAFFREY AVENUE,62026,5,64783,QN1401,QN,Baseline,Far Rockaway-Bayswater,X,AREA OF MINIMAL FLOOD HAZARD,1,118.606664
"MULTILINESTRING ((-74.17787872336429 40.6151132661866, -74.1784495586321 40.614242784368955))",5,Staten Island,502,50,63,24,11,GLEN STREET,233025,4,74207,SI0204,SI,Community,New Springville-Willowbrook-Bulls Head-Travis,X,AREA OF MINIMAL FLOOD HAZARD,1,354.5343239
"MULTILINESTRING ((-73.93335604207377 40.77290366538485, -73.93332589828148 40.772894519545325))",4,Queens,401,22,37,12,12,ASTORIA BOULEVARD,9000187,4,36751,QN0102,QN,Community,Old Astoria-Hallets Point,X,AREA OF MINIMAL FLOOD HAZARD,2,8.98952348
"MULTILINESTRING ((-74.25002978150869 40.50737207244205, -74.24969508870883 40.506003189543044))",5,Staten Island,503,51,62,24,11,FINLAY STREET,91,5,79919,SI0305,SI,Baseline,Tottenville-Charleston,X,AREA OF MINIMAL FLOOD HAZARD,,507.325774
"MULTILINESTRING ((-73.75765433489907 40.60919567605054, -73.75733421030687 40.6100772439419))",4,Queens,414,31,31,10,5,GIPSON STREET,62081,5,65251,QN1401,QN,Baseline,Far Rockaway-Bayswater,AE,,1,333.2504314
"MULTILINESTRING ((-73.93326790087184 40.77287692255634, -73.933241144961 40.77286880523028))",4,Queens,401,22,37,12,12,ASTORIA BOULEVARD,9000190,4,36751,QN0102,QN,Community,Old Astoria-Hallets Point,X,AREA OF MINIMAL FLOOD HAZARD,2,7.979105609
"MULTILINESTRING ((-73.75175176808446 40.60639651197494, -73.75205505621805 40.606608420880725))",4,Queens,414,31,31,10,5,BAYPORT PLACE,62120,3,65465,QN1401,QN,Neighborhood,Far Rockaway-Bayswater,X,AREA OF MINIMAL FLOOD HAZARD,1,114.2472145
"MULTILINESTRING ((-73.95126370145199 40.74012337214988, -73.95061706002993 40.73977572596204))",4,Queens,402,26,37,12,12,53 AVENUE,35344,5,37784,QN0201,QN,Baseline,Long Island City-Hunters Point,AE,,1,219.4374829
"MULTILINESTRING ((-74.14356045694981 40.542522431278684, -74.14461668506586 40.54179010483685))",5,Staten Island,503,51,64,24,11,ACKERMAN STREET,283943,5,76133,SI0302,SI,Baseline,Great Kills-Eltingville,"AE,X",",0.2 PCT ANNUAL CHANCE FLOOD HAZARD,AREA OF MINIMAL FLOOD HAZARD","1,2",396.6923959
"MULTILINESTRING ((-73.93335604207377 40.77290366538485, -73.93332589828148 40.772894519545325))",4,Queens,401,22,37,12,12,ASTORIA BOULEVARD,9000187,4,36751,QN0102,QN,Community,Old Astoria-Hallets Point,X,AREA OF MINIMAL FLOOD HAZARD,2,8.98952348
"MULTILINESTRING ((-73.74781879343108 40.610266286962606, -73.74792518138425 40.61070320294136))",4,Queens,414,31,23,15,5,BEACH 12 STREET,62152,5,65294,QN1401,QN,Baseline,Far Rockaway-Bayswater,X,"0.2 PCT ANNUAL CHANCE FLOOD HAZARD,AREA OF MINIMAL FLOOD HAZARD",1,161.8974187
"MULTILINESTRING ((-74.10971009248425 40.62391012229504, -74.10941668882359 40.622313958527485))",5,Staten Island,501,49,61,24,11,HARTFORD AVENUE,12751,5,67832,SI0104,SI,Baseline,West New Brighton-Silver Lake-Grymes Hill,X,AREA OF MINIMAL FLOOD HAZARD,,587.2009362
"MULTILINESTRING ((-73.74636298481956 40.728766881454675, -73.74609812466488 40.72887561904481))",4,Queens,413,23,"33,24",14,5,HILLSIDE AVENUE,181726,5,61605,QN1303,QN,Baseline,Queens Village,X,AREA OF MINIMAL FLOOD HAZARD,,83.4166164
"MULTILINESTRING ((-74.15756339827192 40.54709942123993, -74.1575262295903 40.54695858552613))",5,Staten Island,503,51,64,24,11,AMBOY ROAD,275804,4,76049,SI0302,SI,Community,Great Kills-Eltingville,X,AREA OF MINIMAL FLOOD HAZARD,,52.33929696
"MULTILINESTRING ((-73.93414355039494 40.77314259843147, -73.93378411773655 40.773033545918665))",4,Queens,401,22,37,12,12,ASTORIA BOULEVARD,9000182,4,36751,QN0102,QN,Community,Old Astoria-Hallets Point,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,2,107.1899873
"MULTILINESTRING ((-73.7469209642798 40.61172649973113, -73.74780475849361 40.61139469418172))",4,Queens,414,31,31,"10,15",5,REDFERN AVENUE,62181,5,65204,QN1401,QN,Baseline,Far Rockaway-Bayswater,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,1,273.5447386
"MULTILINESTRING ((-74.03263386413325 40.631834450508144, -74.03076395911665 40.6313913431555))",3,Brooklyn,310,43,64,22,11,76 STREET,16959,5,9075,BK1001,BK,Baseline,Bay Ridge,X,AREA OF MINIMAL FLOOD HAZARD,,543.5476063
"MULTILINESTRING ((-73.74384380126233 40.60838064028482, -73.74364596437067 40.608066661478))",4,Queens,414,31,23,15,5,HARRIS STREET,62197,5,65039,QN1401,QN,Baseline,Far Rockaway-Bayswater,X,AREA OF MINIMAL FLOOD HAZARD,1,126.8965168
"MULTILINESTRING ((-74.11071119704708 40.62525119064024, -74.11192369534136 40.625177533724475))",5,Staten Island,501,49,61,24,11,HOWE STREET,12764,5,68513,SI0104,SI,Baseline,West New Brighton-Silver Lake-Grymes Hill,X,AREA OF MINIMAL FLOOD HAZARD,,337.6477463
"MULTILINESTRING ((-74.14284494239482 40.54846592506075, -74.14271200963687 40.5484969784401, -74.14258311431826 40.54853915717399, -74.14246061627946 40.54859190902649, -74.14234668568649 40.54865430378434, -74.14224314966182 40.548725078470994))",5,Staten Island,503,51,64,24,11,KING JAMES COURT,6300,5,75566,SI0302,SI,Baseline,Great Kills-Eltingville,X,AREA OF MINIMAL FLOOD HAZARD,,194.3232603
"MULTILINESTRING ((-73.74077909303084 40.71712751379367, -73.74075785039692 40.71709665937718))",4,Queens,413,"27,23",33,14,5,215 STREET,181755,5,62070,QN1303,QN,Baseline,Queens Village,X,AREA OF MINIMAL FLOOD HAZARD,,12.69019632
"MULTILINESTRING ((-73.74337071089275 40.60816234221127, -73.74364596437067 40.608066661478))",4,Queens,414,31,23,15,5,MOSS PLACE,62203,5,65393,QN1401,QN,Baseline,Far Rockaway-Bayswater,X,AREA OF MINIMAL FLOOD HAZARD,1,84.0020342
"MULTILINESTRING ((-73.756406632579 40.65763832644094, -73.756809595097 40.657093283753206))",4,Queens,413,31,31,10,5,226 STREET,62227,5,63852,QN1306,QN,Baseline,Springfield Gardens (South)-Brookville,X,"0.2 PCT ANNUAL CHANCE FLOOD HAZARD,AREA OF MINIMAL FLOOD HAZARD","1,3",227.8862323
"MULTILINESTRING ((-74.15518703433858 40.552973691206, -74.15454094279738 40.55314469281626))",5,Staten Island,503,51,62,24,11,KATAN LOOP,110030,4,76258,SI0302,SI,Community,Great Kills-Eltingville,X,AREA OF MINIMAL FLOOD HAZARD,,190.0452924
"MULTILINESTRING ((-74.15518703433858 40.552973691206, -74.15454094279738 40.55314469281626))",5,Staten Island,503,51,62,24,11,KATAN LOOP,110030,4,76258,SI0302,SI,Community,Great Kills-Eltingville,X,AREA OF MINIMAL FLOOD HAZARD,,190.0452924
"MULTILINESTRING ((-74.1543962015705 40.552839752756924, -74.1538241305574 40.55298058038236))",5,Staten Island,503,51,62,24,11,KATAN LOOP,6443,4,76309,SI0302,SI,Community,Great Kills-Eltingville,X,AREA OF MINIMAL FLOOD HAZARD,,167.0485678
"MULTILINESTRING ((-74.24906858360595 40.508412864175845, -74.24948282941492 40.50828197249326))",5,Staten Island,503,51,62,24,11,AMBOY ROAD,97,5,79772,SI0305,SI,Baseline,Tottenville-Charleston,X,AREA OF MINIMAL FLOOD HAZARD,,124.6730623
"MULTILINESTRING ((-73.74107504894158 40.73365679774067, -73.74065514901463 40.73253148338744))",4,Queens,413,23,24,14,3,229 STREET,181810,3,61267,QN1302,QN,Neighborhood,Bellerose,X,AREA OF MINIMAL FLOOD HAZARD,,426.1831967
"MULTILINESTRING ((-74.25206864637924 40.51136081824445, -74.25154258192761 40.51083978050608))",5,Staten Island,503,51,62,24,11,BENTLEY STREET,101,5,79728,SI0305,SI,Baseline,Tottenville-Charleston,X,AREA OF MINIMAL FLOOD HAZARD,"1,2",239.6497407
"MULTILINESTRING ((-73.74744135942626 40.65503610839882, -73.74568549373896 40.654447063014764))",4,Queens,413,31,31,10,5,148 ROAD,62354,5,63566,QN1307,QN,Baseline,Springfield Gardens (South)-Brookville,AE,,"1,2",532.3700222
"MULTILINESTRING ((-74.2513603172414 40.510655219411106, -74.25025994556218 40.50958018167322))",5,Staten Island,503,51,62,24,11,BENTLEY STREET,102,5,79944,SI0305,SI,Baseline,Tottenville-Charleston,X,AREA OF MINIMAL FLOOD HAZARD,,497.0136384
"MULTILINESTRING ((-74.2513603172414 40.510655219411106, -74.25068897770689 40.51100319476511))",5,Staten Island,503,51,62,24,11,EARLEY PLACE,103,5,79834,SI0305,SI,Baseline,Tottenville-Charleston,X,AREA OF MINIMAL FLOOD HAZARD,,225.6559119
"MULTILINESTRING ((-73.73101294578194 40.72158707644642, -73.73099374724828 40.72153440556643))",4,Queens,413,23,33,"11,14",5,224 STREET,181907,5,62469,QN1303,QN,Baseline,Queens Village,X,AREA OF MINIMAL FLOOD HAZARD,,19.9138573
"MULTILINESTRING ((-73.73588624266662 40.738019169248304, -73.73512274978914 40.73601429941132))",4,Queens,413,23,24,11,3,236 STREET,181880,5,61449,QN1302,QN,Baseline,Bellerose,X,AREA OF MINIMAL FLOOD HAZARD,,760.4647535
"MULTILINESTRING ((-74.14021125544538 40.5548950776069, -74.14025429626025 40.55479453072651))",5,Staten Island,503,51,62,24,11,AMBOY ROAD,110678,5,75631,SI0302,SI,Baseline,Great Kills-Eltingville,X,AREA OF MINIMAL FLOOD HAZARD,,38.53477227
"MULTILINESTRING ((-73.77595468890812 40.67603223875449, -73.77596389093621 40.67602664104461, -73.77597356093217 40.67602151971843, -73.77598365505445 40.67601689810413, -73.77599413065015 40.67601279773085, -73.77600494035354 40.67600923471567, -73.77601603679285 40.676006226976604, -73.7760273714377 40.676003785225255, -73.77603889338326 40.676001922870334, -73.7760505529315 40.67600064611856, -73.77606229683622 40.675999961169985, -73.77607407540843 40.675999871529854, -73.77608583660592 40.676000377096955, -73.77609752602682 40.67600147596431, -73.77610909519228 40.67600316353507, -73.77612049090436 40.67600543160111, -73.77613166470235 40.676008270162455, -73.77614256576591 40.676011667413576, -73.77615314683516 40.67601560795377, -73.77616336065624 40.67602007458138, -73.77617316353269 40.67602504740011, -73.7761825105912 40.676030504710354, -73.77619136169865 40.67603642212018, -73.776199676728 40.676042773436635, -73.77620742028621 40.6760495315754, -73.77621455699241 40.67605666585024, -73.77622105738254 40.67606414468583, -73.77622689080978 40.67607193650452, -73.77623203137338 40.676080005235335, -73.7762364579009 40.67608831571701, -73.77624015040554 40.676096831890064))",4,Queens,412,28,32,10,5,130 AVENUE,59489,5,58664,QN1204,QN,Baseline,Springfield Gardens (North)-Rochdale Village,X,AREA OF MINIMAL FLOOD HAZARD,5,98.01877455
"MULTILINESTRING ((-74.25114838223485 40.511878417711976, -74.25139685274156 40.511739551903375))",5,Staten Island,503,51,62,24,11,ARTHUR KILL ROAD,108,5,79881,SI0305,SI,Baseline,Tottenville-Charleston,X,AREA OF MINIMAL FLOOD HAZARD,2,85.63328273
"MULTILINESTRING ((-73.72760046058771 40.728136483559, -73.72822438373608 40.72652391500963))",4,Queens,413,23,33,11,3,240 STREET,181960,4,61513,QN1302,QN,Community,Bellerose,X,AREA OF MINIMAL FLOOD HAZARD,,612.4309997
"MULTILINESTRING ((-73.73298471412485 40.65752749937468, -73.73301904293872 40.6567765895999))",4,Queens,413,31,29,10,5,256 STREET,62656,5,64498,QN1307,QN,Baseline,Rosedale,X,AREA OF MINIMAL FLOOD HAZARD,3,273.7430925
"MULTILINESTRING ((-73.74008796227147 40.59470538134969, -73.74044747911724 40.595967707480725))",4,Queens,414,31,23,15,5,BEACH 5 STREET,171313,5,65541,QN1401,QN,Baseline,Far Rockaway-Bayswater,AE,,1,470.6107703
"MULTILINESTRING ((-73.73283521718449 40.65884075102666, -73.73290429086836 40.65752543056274))",4,Queens,413,31,29,10,5,256 STREET,62672,5,64506,QN1307,QN,Baseline,Rosedale,X,AREA OF MINIMAL FLOOD HAZARD,3,479.5909914
"MULTILINESTRING ((-74.25114838223485 40.511878417711976, -74.24998516281684 40.510673261855))",5,Staten Island,503,51,62,24,11,BUTLER AVENUE,109,5,79885,SI0305,SI,Baseline,Tottenville-Charleston,X,AREA OF MINIMAL FLOOD HAZARD,2,545.3436449
"MULTILINESTRING ((-73.75977104969549 40.680664807712716, -73.75869917588454 40.6790555728877))",4,Queens,412,27,29,14,5,180 STREET,171380,5,59737,QN1205,QN,Baseline,St. Albans,X,AREA OF MINIMAL FLOOD HAZARD,6,657.3613114
"MULTILINESTRING ((-73.72538776980785 40.72578831729062, -73.72511151876459 40.725077549183105))",4,Queens,413,23,33,11,"3,5",243 STREET,182275,5,61216,QN1303,QN,Baseline,Bellerose,X,AREA OF MINIMAL FLOOD HAZARD,,270.0380581
"MULTILINESTRING ((-73.75869917588454 40.6790555728877, -73.75867094770987 40.6790145671378))",4,Queens,412,27,29,14,5,180 STREET,171381,5,59737,QN1205,QN,Baseline,St. Albans,X,AREA OF MINIMAL FLOOD HAZARD,"5,6",16.86693296
"MULTILINESTRING ((-73.72720802052174 40.660422320792364, -73.72806208890862 40.660218095888176))",4,Queens,413,31,29,10,5,256 STREET,62725,5,64270,QN1307,QN,Baseline,Rosedale,X,AREA OF MINIMAL FLOOD HAZARD,3,248.3647544
"MULTILINESTRING ((-74.14840916209303 40.58913464328003, -74.14869312264472 40.58884235403561))",5,Staten Island,502,50,63,24,11,ANJALI LOOP,7838,5,74380,SI0204,SI,Baseline,New Springville-Willowbrook-Bulls Head-Travis,X,AREA OF MINIMAL FLOOD HAZARD,,132.5138388
"MULTILINESTRING ((-73.93329729152707 40.77288584014782, -73.93326790087184 40.77287692255634))",4,Queens,401,22,37,12,12,ASTORIA BOULEVARD,9000189,4,36751,QN0102,QN,Community,Old Astoria-Hallets Point,X,AREA OF MINIMAL FLOOD HAZARD,2,8.764958902
"MULTILINESTRING ((-73.76142691346162 40.67578121443321, -73.76111838932033 40.67622834791031))",4,Queens,412,27,32,10,5,CRANDALL AVENUE,62827,5,59146,QN1204,QN,Baseline,St. Albans,X,AREA OF MINIMAL FLOOD HAZARD,5,184.0142988
"MULTILINESTRING ((-74.25068897770689 40.51100319476511, -74.25055805402033 40.51086030496625, -74.2504152152769 40.510724005899604, -74.25026134950343 40.51059512407471))",5,Staten Island,503,51,62,24,11,LAFAYETTE STREET,112,5,79532,SI0305,SI,Baseline,Tottenville-Charleston,X,AREA OF MINIMAL FLOOD HAZARD,,190.6365657
"MULTILINESTRING ((-73.76191764392026 40.67888183177475, -73.76037208406656 40.678290765263235))",4,Queens,412,27,32,10,5,MATHEWSON COURT,62849,5,58641,QN1204,QN,Baseline,"Springfield Gardens (North)-Rochdale Village,St. Albans",X,AREA OF MINIMAL FLOOD HAZARD,5,479.7385092
"MULTILINESTRING ((-73.74188464079283 40.70021400486066, -73.74128529753638 40.70002902510005))",4,Queens,413,27,33,14,5,115 TERRACE,172001,5,62881,QN1304,QN,Baseline,Cambria Heights,X,AREA OF MINIMAL FLOOD HAZARD,,179.3313085
"MULTILINESTRING ((-73.75548953272525 40.67031703798339, -73.75561460455187 40.67015837115349))",4,Queens,413,31,29,14,5,219 STREET,63087,5,63499,QN1305,QN,Baseline,Laurelton,X,AREA OF MINIMAL FLOOD HAZARD,5,67.4196384
"MULTILINESTRING ((-74.13092851471195 40.5990985204662, -74.13080319426557 40.59884208605561))",5,Staten Island,502,50,63,24,11,BRADLEY AVENUE,110595,5,72784,SI0203,SI,Baseline,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights,X,AREA OF MINIMAL FLOOD HAZARD,,99.69703186
"MULTILINESTRING ((-74.25132969825202 40.5136993660625, -74.25121617211519 40.51358200504909))",5,Staten Island,503,51,62,24,11,MAIN STREET,123,4,79580,SI0305,SI,Community,Tottenville-Charleston,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,1,53.14733023
"MULTILINESTRING ((-73.74159730079596 40.70077069844289, -73.74098503793371 40.70057242443578))",4,Queens,413,27,33,14,5,115 COURT,172005,5,62952,QN1304,QN,Baseline,Cambria Heights,X,AREA OF MINIMAL FLOOD HAZARD,,184.4967506
"MULTILINESTRING ((-73.75324239618016 40.66961207757652, -73.75341118115213 40.66929387996251))",4,Queens,413,31,29,14,5,222 STREET,63099,5,63249,QN1305,QN,Baseline,Laurelton,X,AREA OF MINIMAL FLOOD HAZARD,5,125.0268914
"MULTILINESTRING ((-73.75392118628871 40.672714395248164, -73.75339616585114 40.67255215117912))",4,Queens,413,31,29,14,5,139 AVENUE,63113,5,63260,QN1305,QN,Baseline,Laurelton,X,AREA OF MINIMAL FLOOD HAZARD,5,157.1763178
"MULTILINESTRING ((-73.93525789432428 40.82662838607862, -73.93539079504956 40.82668313329919))",1,Manhattan,110,9,71,30,13,WEST 153 STREET,173798,4,34996,MN1002,MN,Community,Harlem (North),X,AREA OF MINIMAL FLOOD HAZARD,"2,4,5",41.84121908
"MULTILINESTRING ((-73.92036466287685 40.833542901492955, -73.91923401787896 40.83315636135504))",2,Bronx,204,16,"77,84",29,15,MCCLELLAN STREET,174220,3,21146,BX0401,BX,Neighborhood,Concourse-Concourse Village,X,AREA OF MINIMAL FLOOD HAZARD,,343.113187
"MULTILINESTRING ((-73.75331614995295 40.68308651021891, -73.75299016021236 40.683393157539186))",4,Queens,412,27,29,14,5,PINEVILLE LANE,63193,5,59332,QN1205,QN,Baseline,St. Albans,X,AREA OF MINIMAL FLOOD HAZARD,6,143.7221588
"MULTILINESTRING ((-73.71571761033779 40.739908528466664, -73.71516864665907 40.74002719231084))",4,Queens,413,23,"33,24",11,3,82 AVENUE,182444,5,60876,QN1302,QN,Baseline,Glen Oaks-Floral Park-New Hyde Park,X,AREA OF MINIMAL FLOOD HAZARD,,158.1498206
"MULTILINESTRING ((-73.71578320264686 40.73989434520303, -73.71571761033779 40.739908528466664))",4,Queens,413,23,"33,24",11,3,82 AVENUE,182443,5,60876,QN1302,QN,Baseline,"Glen Oaks-Floral Park-New Hyde Park,Bellerose",X,AREA OF MINIMAL FLOOD HAZARD,,18.89685411
"MULTILINESTRING ((-73.71539412981039 40.73776790554214, -73.71492627905825 40.737867155495344))",4,Queens,413,23,33,11,3,83 AVENUE,182445,5,60849,QN1302,QN,Baseline,Bellerose,X,AREA OF MINIMAL FLOOD HAZARD,,134.6005097
"MULTILINESTRING ((-73.75127148119378 40.66717279326592, -73.75057694664001 40.66691791036925))",4,Queens,413,31,29,14,5,142 ROAD,63250,5,63474,QN1305,QN,Baseline,Laurelton,X,AREA OF MINIMAL FLOOD HAZARD,5,213.886264
"MULTILINESTRING ((-73.89603862966129 40.856398475924, -73.89600761656887 40.85638809952762))",2,Bronx,205,15,86,33,15,EAST 183 STREET,9004520,4,21960,BX0603,BX,Community,Fordham Heights,X,AREA OF MINIMAL FLOOD HAZARD,,9.375199432
"MULTILINESTRING ((-73.92001193949504 40.87837165057851, -73.91978690476397 40.87759476083169))",2,Bronx,208,11,81,34,16,EDSALL AVENUE,121030,3,23694,BX0803,BX,Neighborhood,Riverdale-Spuyten Duyvil,X,AREA OF MINIMAL FLOOD HAZARD,2,289.8121531
"MULTILINESTRING ((-73.91978690476397 40.87759476083169, -73.91982534693831 40.87755247363025, -73.91987570462511 40.8775164260634, -73.91993496122846 40.87748927246151, -73.91999893893514 40.877472495719616))",2,Bronx,208,11,81,34,16,EDSALL AVENUE,72812,3,23694,BX0803,BX,Neighborhood,Riverdale-Spuyten Duyvil,X,AREA OF MINIMAL FLOOD HAZARD,2,75.72133407
"MULTILINESTRING ((-73.89596798222495 40.85637483737897, -73.89587563767911 40.856343937459414))",2,Bronx,205,15,86,33,15,EAST 183 STREET,9004523,4,21960,BX0603,BX,Community,Fordham Heights,X,AREA OF MINIMAL FLOOD HAZARD,,27.9160606
"MULTILINESTRING ((-73.73503350518597 40.6649200892011, -73.73518834730197 40.66484751262843))",4,Queens,413,31,29,10,5,245 STREET,63771,4,64236,QN1307,QN,Community,Rosedale,X,AREA OF MINIMAL FLOOD HAZARD,5,50.44301916
"MULTILINESTRING ((-73.7105041641295 40.72802341312704, -73.70970606821844 40.728144729160995))",4,Queens,413,23,33,11,3,87 DRIVE,182465,5,60947,QN1301,QN,Baseline,Glen Oaks-Floral Park-New Hyde Park,X,AREA OF MINIMAL FLOOD HAZARD,,225.5760312
"MULTILINESTRING ((-73.72815281646051 40.66245414200835, -73.72895847809336 40.66224806703572))",4,Queens,413,31,29,10,5,253 STREET,64041,5,64543,QN1307,QN,Baseline,Rosedale,X,AREA OF MINIMAL FLOOD HAZARD,3,235.792992
"MULTILINESTRING ((-73.70044059717222 40.739061612649394, -73.70000906326769 40.73932341203566))",4,Queens,413,23,33,11,3,HILLSIDE AVENUE,182491,4,60575,QN1301,QN,Community,Glen Oaks-Floral Park-New Hyde Park,X,AREA OF MINIMAL FLOOD HAZARD,,152.9654749
"MULTILINESTRING ((-73.70059800084873 40.73902167900416, -73.70044059717222 40.739061612649394))",4,Queens,413,23,33,11,3,HILLSIDE AVENUE,182490,4,60575,QN1301,QN,Community,Glen Oaks-Floral Park-New Hyde Park,X,AREA OF MINIMAL FLOOD HAZARD,,45.98188283
"MULTILINESTRING ((-74.15129181970309 40.60926919593997, -74.15210476647273 40.609102696065094))",5,Staten Island,502,50,63,24,11,VICTORY BOULEVARD,160118,5,74624,SI0204,SI,Baseline,New Springville-Willowbrook-Bulls Head-Travis,X,AREA OF MINIMAL FLOOD HAZARD,,233.7304166
"MULTILINESTRING ((-73.72984944290188 40.66534761169356, -73.72811351414873 40.66534531399885))",4,Queens,413,31,29,"10,14",5,SOUTH CONDUIT AVENUE,64059,5,64719,QN1307,QN,Baseline,Rosedale,X,AREA OF MINIMAL FLOOD HAZARD,"4,5",481.5906867
"MULTILINESTRING ((-73.72950385201536 40.66757497448721, -73.72822217032858 40.66731363864123))",4,Queens,413,31,29,14,5,137 AVENUE,64079,5,64265,QN1307,QN,Baseline,Rosedale,X,AREA OF MINIMAL FLOOD HAZARD,5,368.0866074
"MULTILINESTRING ((-73.87252481821675 40.83788756130008, -73.87172097885139 40.83819619794529))",2,Bronx,209,"15,18",87,"33,32",15,BRONX RIVER AVENUE,176174,5,24446,BX0901,BX,Baseline,Soundview-Bruckner-Bronx River,X,AREA OF MINIMAL FLOOD HAZARD,,249.2360468
"MULTILINESTRING ((-74.24880339891175 40.50614467279664, -74.24969508870883 40.506003189543044))",5,Staten Island,503,51,62,24,11,SHORE ROAD,169,5,79741,SI0305,SI,Baseline,Tottenville-Charleston,X,AREA OF MINIMAL FLOOD HAZARD,,253.2684712
"MULTILINESTRING ((-73.72831321214984 40.670884388802925, -73.72788358640115 40.67079643635011))",4,Queens,413,31,29,14,5,134 ROAD,64104,5,64473,QN1307,QN,Baseline,Rosedale,X,AREA OF MINIMAL FLOOD HAZARD,5,123.4116926
"MULTILINESTRING ((-74.10337864801865 40.62305036441766, -74.10384889444919 40.62295840265654))",5,Staten Island,501,49,"61,63",24,11,CROTON AVENUE,118513,4,68208,SI0104,SI,Community,West New Brighton-Silver Lake-Grymes Hill,X,AREA OF MINIMAL FLOOD HAZARD,,134.7718584
